2025-08-17 17:04:38.156 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 17:04:38.167 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 17496 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 17:04:38.168 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 17:04:39.460 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 17:04:39.519 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 17:04:39.521 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 17:04:39.532 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 17:04:39.533 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-17 17:04:39.533 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 17:04:39.533 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 17:04:39.556 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 17:04:41.559 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 17:04:42.353 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 5.75 seconds (JVM running for 6.274)
2025-08-17 17:24:04.463 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 17:24:04.463 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 17:24:04.464 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 17:24:04.464 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 17:24:04.612 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 17:24:04.612 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 17:24:04.618 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 17:24:04.618 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 17:24:04.623 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 17:24:04.624 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:06:46.913 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:06:46.933 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 9136 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:06:46.935 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:06:49.217 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:06:49.302 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:06:49.304 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:06:49.318 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:06:49.318 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
