2025-08-09 21:23:06.947 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-09 21:23:06.958 [main] INFO  com.maxinhai.platform.WarehouseApplication - Starting WarehouseApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 17236 (C:\JavaProject\cloud-platform\cloud-platform-warehouse\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-09 21:23:06.959 [main] INFO  com.maxinhai.platform.WarehouseApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-09 21:23:08.110 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'inventoryAdjustmentDetailMapper' and 'com.maxinhai.platform.mapper.inventory.InventoryAdjustmentDetailMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'inventoryAdjustmentMapper' and 'com.maxinhai.platform.mapper.inventory.InventoryAdjustmentMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'inventoryMapper' and 'com.maxinhai.platform.mapper.inventory.InventoryMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'warehouseAreaMapper' and 'com.maxinhai.platform.mapper.model.WarehouseAreaMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'warehouseLocationMapper' and 'com.maxinhai.platform.mapper.model.WarehouseLocationMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'warehouseMapper' and 'com.maxinhai.platform.mapper.model.WarehouseMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'warehouseRackMapper' and 'com.maxinhai.platform.mapper.model.WarehouseRackMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'issueOrderDetailMapper' and 'com.maxinhai.platform.mapper.order.IssueOrderDetailMapper' mapperInterface. Bean already defined with the same name!
